parent_id,parent_name,length_meters,dip_degrees_min,dip_degrees_max,dip_degrees_mean,upper_depth_km_min,upper_depth_km_max,upper_depth_km_mean,lower_depth_km_min,lower_depth_km_max,lower_depth_km_mean
1,Airport Lake,47528.196,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
2,Almanor,34770.897,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
3,Anacapa - Dume,64473.885,45.0,45.0,45.0,0.0,0.0,0.0,15.5,15.5,15.5
5,Anaheim,15722.856,71.0,71.0,71.0,3.8,3.8,3.8,14.2,14.2,14.2
6,Ash Hill,49479.012,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
7,Baker,87940.001,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
8,Bartlett Springs,163881.174,90.0,90.0,90.0,0.0,0.0,0.0,14.5,14.5,14.5
9,Battle Creek,31669.925,74.0,74.0,74.0,0.0,0.0,0.0,19.7,19.7,19.7
10,Bear River (CA),58990.558,60.0,60.0,60.0,0.0,0.0,0.0,10.0,10.0,10.0
11,Bennett Valley,33278.124,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
12,Bicycle Lake,20014.46,90.0,90.0,90.0,0.0,0.0,0.0,12.3,12.3,12.3
13,Big Lagoon,163581.664,35.0,35.0,35.0,0.0,0.0,0.0,13.0,13.0,13.0
14,Big Pine (center),22749.958,76.0,76.0,76.0,0.0,0.0,0.0,6.6,6.6,6.6
15,Big Pine (east),23428.94,73.0,73.0,73.0,0.0,0.0,0.0,14.3,14.3,14.3
16,Big Pine (west),17982.825,50.0,50.0,50.0,0.0,0.0,0.0,11.0,11.0,11.0
17,Blackwater,63421.237,90.0,90.0,90.0,0.0,0.0,0.0,12.1,12.1,12.1
18,Blue Cut,78910.19,90.0,90.0,90.0,0.0,0.0,0.0,13.1,13.1,13.1
19,Brawley,61170.825,90.0,90.0,90.0,0.0,0.0,0.0,13.2,13.2,13.2
21,Breckenridge,10998.224,60.0,60.0,60.0,0.0,0.0,0.0,14.6,14.6,14.6
22,Bullion Mountains,37988.551,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
23,Burnt Mountain,21231.505,67.0,67.0,67.0,0.0,0.0,0.0,15.9,15.9,15.9
25,Cady,31745.527,90.0,90.0,90.0,0.0,0.0,0.0,13.9,13.9,13.9
26,Calico - Hidalgo,118339.177,90.0,90.0,90.0,0.0,0.0,0.0,13.9,13.9,13.9
27,Camp Rock,45235.178,90.0,90.0,90.0,0.0,0.0,0.0,15.1,15.1,15.1
28,Canada David,36231.682,37.0,37.0,37.0,0.0,0.0,0.0,15.3,15.3,15.3
29,Carlsbad,62078.749,37.0,37.0,37.0,1.6,1.6,1.6,7.3,7.3,7.3
30,Casmalia,47800.278,75.0,75.0,75.0,0.0,0.0,0.0,12.0,12.0,12.0
